cost_function,value,name,level
all_time_peak_average,1.0,District,district
carbon_emissions_total,0.9979884409318778,District,district
cost_total,0.990486524269062,District,district
daily_one_minus_load_factor_average,1.001065998510778,District,district
daily_peak_average,1.1789266181655684,District,district
electricity_consumption_total,0.9934805500119714,District,district
monthly_one_minus_load_factor_average,0.9959995107307438,District,district
ramping_average,1.4100053094258653,District,district
zero_net_energy,1.1508357146195207,District,district
electricity_consumption_total,0.9883089386714567,Building_8,building
zero_net_energy,1.223088328892578,Building_8,building
carbon_emissions_total,0.9952526070592825,Building_8,building
cost_total,0.9883777593253038,Building_8,building
electricity_consumption_total,0.998652161352486,Building_10,building
zero_net_energy,1.0785831003464637,Building_10,building
carbon_emissions_total,1.0007242748044731,Building_10,building
cost_total,0.9925952892128203,Building_10,building
