cost_function,value,name,level
all_time_peak_average,1.0362470223977194,District,district
carbon_emissions_total,1.0198073215494876,District,district
cost_total,0.9868959993112194,District,district
daily_one_minus_load_factor_average,1.0132190648601942,District,district
daily_peak_average,1.178541930454648,District,district
electricity_consumption_total,1.0093270895900706,District,district
monthly_one_minus_load_factor_average,1.0010351285338206,District,district
ramping_average,1.6082665045932196,District,district
zero_net_energy,1.1738686728346348,District,district
electricity_consumption_total,1.0198132071029062,Building_8,building
zero_net_energy,1.255809918905198,Building_8,building
carbon_emissions_total,1.0334858984854727,Building_8,building
cost_total,0.9908738112984073,Building_8,building
electricity_consumption_total,0.9988409720772348,Building_10,building
zero_net_energy,1.0919274267640713,Building_10,building
carbon_emissions_total,1.0061287446135023,Building_10,building
cost_total,0.9829181873240316,Building_10,building
