cost_function,value,name,level
all_time_peak_average,0.9332628827009123,District,district
carbon_emissions_total,0.9863351624286755,District,district
cost_total,0.9580066181340952,District,district
daily_one_minus_load_factor_average,0.978241660553226,District,district
daily_peak_average,0.9040172335602793,District,district
electricity_consumption_total,0.989555585087494,District,district
monthly_one_minus_load_factor_average,0.9846703721467104,District,district
ramping_average,0.9751135761725422,District,district
zero_net_energy,1.034420407121298,District,district
electricity_consumption_total,1.0012053066122626,Building_2,building
zero_net_energy,1.0100134576715403,Building_2,building
carbon_emissions_total,0.9984216475141582,Building_2,building
cost_total,0.9915762538139679,Building_2,building
electricity_consumption_total,1.0137538534773787,Building_5,building
zero_net_energy,1.036466703269861,Building_5,building
carbon_emissions_total,1.0125049235896417,Building_5,building
cost_total,0.9799203729407493,Building_5,building
electricity_consumption_total,1.0000181785765279,Building_6,building
zero_net_energy,1.0794827425644533,Building_6,building
carbon_emissions_total,0.9839748504346892,Building_6,building
cost_total,0.8798861628299184,Building_6,building
electricity_consumption_total,1.001610885165552,Building_7,building
zero_net_energy,1.008892616503345,Building_7,building
carbon_emissions_total,1.002456727576887,Building_7,building
cost_total,1.0012479723944883,Building_7,building
electricity_consumption_total,0.9995745524531544,Building_8,building
zero_net_energy,1.002591919380586,Building_8,building
carbon_emissions_total,0.999582717537469,Building_8,building
cost_total,0.999245092630152,Building_8,building
electricity_consumption_total,0.9735028724947338,Building_10,building
zero_net_energy,1.0577126214564803,Building_10,building
carbon_emissions_total,0.9610808907433467,Building_10,building
cost_total,0.866425098277252,Building_10,building
electricity_consumption_total,0.9932471936150735,Building_13,building
zero_net_energy,1.0066331973004794,Building_13,building
carbon_emissions_total,0.9926112153499125,Building_13,building
cost_total,0.9922307027883835,Building_13,building
electricity_consumption_total,0.9335318383052684,Building_16,building
zero_net_energy,1.073569998823638,Building_16,building
carbon_emissions_total,0.9400483266832994,Building_16,building
cost_total,0.9535212893978499,Building_16,building
