cost_function,value,name,level
all_time_peak_average,1.0,District,district
carbon_emissions_total,0.93690335636831,District,district
cost_total,0.8901562613504437,District,district
daily_one_minus_load_factor_average,0.9891691437420148,District,district
daily_peak_average,0.9589016950059804,District,district
electricity_consumption_total,0.9443629776809945,District,district
monthly_one_minus_load_factor_average,0.993487131854379,District,district
ramping_average,1.072221201895784,District,district
zero_net_energy,1.0671508648187793,District,district
electricity_consumption_total,0.9547952692572927,Building_8,building
zero_net_energy,1.090113203508063,Building_8,building
carbon_emissions_total,0.9513629321026532,Building_8,building
cost_total,0.9095349495812114,Building_8,building
electricity_consumption_total,0.9339306861046963,Building_10,building
zero_net_energy,1.0441885261294956,Building_10,building
carbon_emissions_total,0.9224437806339668,Building_10,building
cost_total,0.8707775731196761,Building_10,building
